category,Frequently Asked Questions,fas fa-headset,
link,kintone FAQ,https://kintone-faq.cybozu.co.jp/hc/en-us,
link,cybozu.com FAQ,https://faq.cybozu.info/alphascope/cybozu/web/cybozu.com/,jaonly
category,Community,far fa-comments,
link,kintone User Community,https://kincom.cybozu.co.jp/,jaonly
link,cybozu developer network,https://cybozu.dev/,
category,Learning,fas fa-pencil-alt,
link,Introduction to kintone Guidebook,https://kintone.cybozu.co.jp/r/kokokaraguide/,jaonly
link,Guidebooks for specific features,https://kintone.cybozu.co.jp/material/#guidebook,jaonly
link,Video tutorials to learn from the basics to advanced,https://kintone.cybozu.co.jp/seminar/ondemand.html?utm_source=ki_helpsite&utm_medium=website&utm_campaign=movie,jaonly
